business_id,centrality,business_name,avg_sentiment,sentiment_std,review_count,avg_rating,influence_score
sStsNz4BHQUcqpufL_RzUQ,0.006057211408306514,Theodora,0.98292,0.015124714873345548,5,4.6,0.012010965645759153
XLhzRqTsv9vZwNjmwS2e9g,0.007097295863071109,Carnegie Diner,0.67908,0.673605227117486,5,4.8,0.011916927537765437
r-EDS_eO70HUgDmOk5_8Qw,0.00594609427914428,Juniper Bar,0.96716,0.03781352932483291,5,4.8,0.011696918822161461
zRXMvxUX_rOliKZPpkWi_g,0.00594609427914428,Valerie,0.96534,0.048599156371278714,5,4.8,0.011686096930573417
RfxOtJ4SQmEeVX_XjFLWUQ,0.00594609427914428,Otis,0.93606,0.021647701956558775,5,5.0,0.011511995290080073
_Jgmhw0ywyoGyglPwB1xGA,0.006045311647954224,Friend Of A Farmer - Upper West Side,0.88362,0.2189324941620133,5,4.4,0.011387069926319536
swKXaURwqdSrSTcpHsxdbA,0.005869779309584645,Lowerline,0.93112,0.0644281537838855,5,5.0,0.0113352482203251
NN3mOWF5e_pnR1ArqM2bHQ,0.005715602231452646,Obao,0.97668,0.016365420862293752,5,5.0,0.011297916618867816
83zDAk03lFXkgImgkLhT9w,0.00579325772148033,Chi Restaurant & Bar,0.9452,0.043769738404518685,5,4.6,0.011269044919823537
wA_KKu3X36JcaUPgFjyIHg,0.005704214664498594,Glasserie,0.96716,0.02133806457952551,5,4.6,0.011221102919415055
gXgE7myTLwzXpnlfTXlzKQ,0.0057220883367465345,Artesano Peruvian Cuisine,0.9355399999999999,0.0532705641043907,5,4.6,0.011075330859306388
G_zDrPTmfNCL2R1tHpEouw,0.00562171098521533,The Archer,0.9172,0.0811519562302721,5,4.8,0.01077794430085483
oLA02lMIfgvbYquvXzkARw,0.006734531918872469,Lillie's Victorian Establishment,0.5894600000000001,0.7991828407817575,5,4.4,0.010704269103771034
qCf1QN11Qdncpqb7PhuyVw,0.005427354343154834,The Ragtrader & Bo Peep Cocktail and Highball Store,0.9672000000000001,0.04011439891111417,5,4.8,0.01067669146385419
fRdTURZB-dROg5dIIDGDLA,0.0055082774264941835,Place des Fêtes,0.93764,0.10989853502208302,5,4.6,0.01067305867267219
Rc1lxc5lSKJYd162JHNMfQ,0.00594609427914428,Bea,0.79396,0.36053785931577287,5,4.6,0.010667055293013672
8wMJdpw2R_4VfS55itB_gQ,0.005427354343154834,Sweetwater Restaurant,0.95286,0.03359989583317186,5,5.0,0.010598863202573349
A0saPXtRGKl-SVJGQyQAOw,0.006451234239714204,Brooklyn Chop House,0.64006,0.21324435045271423,5,4.0,0.010580411227185678
FgPvSR_42MtGKy0_n055iw,0.004889705119404702,Double Chicken Please,0.9875999999999999,0.003078148794324329,5,5.0,0.009718777895328785
vQX7y4Yoknpso033IDATqA,0.004976569631581443,Wenwen,0.9151400000000001,0.1090144623433056,5,5.0,0.009530827564226884
qm1J_dPA5IHij1oAnoZwHw,0.0046846527935701845,nonono,0.9169599999999999,0.07401096540378324,5,4.6,0.008980292019162301
